Attack type,Attack vector,Improper network segmentation,Number of users affected,Impact on data,Level of digital intensity,Organisation size,Inappropriate remote access,Absence of encryption,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
4,5,0,346,0,3,0,0,0,1,Unknown
0,5,2,243,0,2,1,0,0,0,Cybercriminal group
3,5,2,346,0,0,0,0,2,1,Unknown
2,3,0,119,2,2,2,0,2,1,Insider or Physical theft
3,9,0,139,2,2,3,0,0,1,Third-party
4,8,2,174,0,3,0,0,2,1,Unknown
0,9,0,346,0,0,3,0,2,1,Third-party
0,8,0,346,0,2,0,0,2,1,Script kiddie or Hacker
3,5,2,74,2,3,0,0,2,1,Unknown
3,7,2,193,0,0,0,1,2,1,Unknown
3,8,1,178,1,3,3,2,2,1,Script kiddie or Hacker
3,7,1,245,0,3,1,1,1,1,Unknown
0,4,2,68,2,2,1,0,2,1,Cybercriminal group
0,5,2,210,2,2,0,0,2,1,Cybercriminal group
2,3,0,346,0,2,0,0,2,1,Insider or Physical theft
4,5,2,263,0,0,0,0,2,1,Script kiddie or Hacker
0,5,2,346,0,3,0,0,2,1,Cybercriminal group
2,9,0,236,0,2,0,0,2,1,Insider or Physical theft
2,3,0,280,2,2,3,0,2,1,Insider or Physical theft
0,5,2,231,0,2,3,0,2,0,Cybercriminal group
3,5,2,346,2,0,1,0,2,1,Unknown
3,4,2,346,2,2,0,0,2,1,Unknown
0,5,2,346,2,0,0,0,2,1,Unknown
0,4,2,235,2,2,0,0,1,1,Cybercriminal group
0,7,2,315,2,2,0,1,2,1,Unknown
0,9,1,346,0,1,0,0,1,1,Third-party
0,2,2,346,0,3,1,0,1,1,Unknown
4,9,2,346,2,0,2,0,1,1,Unknown
3,9,1,346,2,0,0,1,1,1,Unknown
3,9,1,227,2,3,0,0,2,1,Script kiddie or Hacker
3,9,1,346,2,3,1,0,1,1,Third-party
3,4,0,346,2,0,0,0,2,1,Phisher
0,5,1,346,0,2,2,0,1,0,Cybercriminal group
3,5,1,70,0,2,2,0,1,1,Unknown
0,9,1,346,0,2,2,0,1,0,Cybercriminal group
3,7,2,292,0,0,0,0,2,1,Unknown
3,5,2,346,0,0,0,0,2,1,Unknown
3,0,0,327,0,0,0,0,2,1,Unknown
3,1,0,346,1,0,0,0,2,1,Script kiddie or Hacker
2,3,0,15,2,2,0,0,2,1,Insider or Physical theft
0,5,2,346,0,1,0,0,2,1,Cybercriminal group
0,5,2,40,0,2,1,0,2,0,Cybercriminal group
4,8,2,346,0,3,0,0,2,1,Script kiddie or Hacker
1,4,2,50,2,2,0,0,2,1,Phisher
0,5,2,102,0,2,2,0,2,0,Cybercriminal group
4,8,2,346,0,3,3,0,2,1,Script kiddie or Hacker
1,9,0,215,2,2,0,0,0,1,Third-party
4,2,2,25,1,0,0,0,0,1,Unknown
1,0,0,149,0,2,0,0,0,1,Unknown
3,7,2,346,2,2,2,2,2,1,Unknown
2,3,0,346,2,0,1,0,2,1,Insider or Physical theft
0,7,0,346,0,1,0,0,2,1,Cybercriminal group
0,7,0,346,0,1,0,0,2,1,Cybercriminal group
0,9,0,346,0,3,2,0,2,1,Unknown
1,4,0,209,2,2,0,0,0,1,Phisher
3,5,2,49,1,2,0,0,2,1,Unknown
0,6,1,346,0,2,0,0,1,1,Cybercriminal group
1,4,2,346,2,2,0,0,0,1,Phisher
4,9,2,346,0,3,1,0,2,1,Third-party
3,7,2,346,0,3,3,0,2,1,Unknown
